,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,mode,population,observations,clinton,trump,both,other,p_clinton,n_clinton,n_respondents
0,district of columbia,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,310.0,85.0,7.0,92.0,6.0,0.9239130434782609,264.0,285.0
1,district of columbia,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,312.0,92.0,6.0,98.0,0.0,0.9387755102040817,287.0,306.0
2,district of columbia,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,332.0,88.0,4.0,92.0,7.0,0.9565217391304348,292.0,305.0
3,district of columbia,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,310.0,81.0,13.0,94.0,0.0,0.8617021276595744,251.0,291.0
4,district of columbia,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,504.0,88.0,5.0,93.0,5.0,0.946236559139785,444.0,469.0
5,district of columbia,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,313.0,81.0,13.0,94.0,6.0,0.8617021276595744,254.0,294.0
6,district of columbia,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,488.0,79.0,14.0,93.0,7.0,0.8494623655913979,386.0,454.0
0,wyoming,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,320.0,28.0,67.0,95.0,0.0,0.29473684210526313,90.0,304.0
1,wyoming,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,251.0,22.0,62.0,84.0,12.0,0.2619047619047619,55.0,211.0
2,wyoming,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,311.0,30.0,65.0,95.0,0.0,0.3157894736842105,93.0,295.0
3,wyoming,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,361.0,25.0,59.0,84.0,11.0,0.2976190476190476,90.0,303.0
4,wyoming,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,311.0,30.0,64.0,94.0,6.0,0.3191489361702128,93.0,292.0
5,wyoming,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,462.0,29.0,65.0,94.0,5.0,0.30851063829787234,134.0,434.0
6,wyoming,2016-09-06,2016-09-11,5,2016-09-08,36,2,DFM Research (D-Greene),Live Phone,,402.0,19.0,54.0,73.0,12.0,0.2602739726027397,76.0,293.0
7,wyoming,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,727.0,27.0,65.0,92.0,0.0,0.29347826086956524,196.0,669.0
0,west virginia,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,472.0,29.0,56.0,85.0,10.0,0.3411764705882353,137.0,401.0
1,west virginia,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,309.0,34.0,56.0,90.0,10.0,0.37777777777777777,105.0,278.0
